Organization,Division,Industry,Country,SDG_Goals,Year Range Start,URL,File Type,Flag,Last Scraped
BHP,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpannualreport2024.pdf,PDF,Trusted,21/04/2025
BHP,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.woodside.com/docs/default-source/investor-documents/major-reports-(static-pdfs)/2023-annual-report/2023-annual-report.pdf?sfvrsn=964007ef_8,PDF,Third-party,21/04/2025
BHP,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.bhp.com/-/media/documents/investors/annual-reports/2023/230822_bhpannualreport2023.pdf,PDF,Trusted,21/04/2025
BHP,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-sustainability-report-2024.pdf,PDF,Third-party,21/04/2025
BHP,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpclimatetransitionactionplan2024.pdf,PDF,Trusted,21/04/2025
BHP,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.rbcbluebay.com/globalassets/documents/asian-equity-report-2024.pdf,PDF,Third-party,21/04/2025
BHP,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://announcements.asx.com.au/asxpdf/20230906/pdf/05tkk791x63rvm.pdf,PDF,Third-party,21/04/2025
BHP,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/2024-integrated-sustainability-and-financial-report.pdf,PDF,Third-party,21/04/2025
BHP,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,PDF,Third-party,21/04/2025
BHP,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.bdo.com/getmedia/647c2636-4ed1-4db7-9aeb-47c216160292/NRE-Report-BDO-UK-Annual-Mining-Report-2025.pdf,PDF,Third-party,21/04/2025
Rio Tinto (cdn-rio),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://company-announcements.afr.com/asx/rio/0f779b69-d07c-11ee-8f69-6a32e2166c97.pdf,PDF,Third-party,21/04/2025
Rio Tinto (cdn-rio),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.riotinto.com/-/media/content/documents/invest/reports/annual-reports/2022/rt-annual-report-2022.pdf,PDF,Trusted,21/04/2025
Rio Tinto (cdn-rio),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://cdn-rio.dataweavers.io/-/media/content/documents/invest/reports/annual-reports/2024-annual-report.pdf,PDF,Trusted,21/04/2025
Rio Tinto (cdn-rio),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.erm.com/globalassets/sr2023/erm-sustainability-report-2023.pdf,PDF,Third-party,21/04/2025
Rio Tinto (cdn-rio),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://announcements.asx.com.au/asxpdf/20230223/pdf/45lxhlb8mbx8d1.pdf,PDF,Third-party,21/04/2025
Rio Tinto (cdn-rio),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,http://www.ironore.ca/data/65-iocv5/ressources/documents/sys_docs/rt-modern-slavery-statement-2023.pdf,PDF,Third-party,21/04/2025
Rio Tinto (cdn-rio),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.sustainability.com/globalassets/sustainability.com/thinking/pdfs/2023/trends_2023_mining_supplement.pdf,PDF,Third-party,21/04/2025
Rio Tinto (cdn-rio),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://treasury.gov.au/sites/default/files/2023-04/c2022-314397-rio-tinto.pdf,PDF,Third-party,21/04/2025
Rio Tinto (cdn-rio),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://eiti.org/sites/default/files/2023-12/Rio%20Tinto%20-%20EITI%20Final%20Assessment%202023.pdf,PDF,Third-party,21/04/2025
Fortescue,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://cdn.fortescue.com/docs/default-source/announcements-and-reports/2597718.pdf?sfvrsn=edccad94_6,PDF,Trusted,21/04/2025
Fortescue,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://announcements.asx.com.au/asxpdf/20230828/pdf/05t4vq395zntr7.pdf,PDF,Third-party,21/04/2025
Fortescue,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://cdn.fortescue.com/docs/default-source/uncategorised/fy24-annual-report.pdf,PDF,Trusted,21/04/2025
Fortescue,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://investors.baesystems.com/~/media/Files/B/BAE-Systems-Investor/investors/annual-reports/2023-annual-report.pdf,PDF,Third-party,21/04/2025
Fortescue,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://cdn.fortescue.com/docs/default-source/announcements-and-reports/2597653.pdf?sfvrsn=79eaba4e_8,PDF,Trusted,21/04/2025
Fortescue,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.energypolicy.columbia.edu/wp-content/uploads/2024/09/CMThematicBonds-Commentary_CGEP_082024.pdf,PDF,Third-party,21/04/2025
Fortescue,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.climateaction100.org/wp-content/uploads/2024/01/Climate-Action-100-Progress-Update-2023.pdf,PDF,Third-party,21/04/2025
Fortescue,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://live.euronext.com/sites/default/files/company_press_releases/attachments_oslo/2024/04/18/616057_Norconsult_annual_report_2023.pdf,PDF,Third-party,21/04/2025
Fortescue,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.jacobs.com/sites/default/files/2024-04/2023_Integrated_Annual_Report_Secured.pdf,PDF,Third-party,21/04/2025
Fortescue,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.woodside.com/docs/default-source/investor-documents/major-reports-(static-pdfs)/2023-annual-report/2023-annual-report.pdf,PDF,Third-party,21/04/2025
Orica,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.orica.com/ArticleDocuments/301/FY2024%20Annual%20Report.pdf,PDF,Trusted,21/04/2025
Orica,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.worley.com/-/media/files/worley/investors/results-and-presentations/2024/wor-annual-report-2024.pdf,PDF,Third-party,21/04/2025
Orica,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.epirocgroup.com/content/dam/epiroc/corporate/documents/investors/annual-report/2024/Epiroc%20Annual%20and%20Sustainability%20Report-2024.pdf,PDF,Third-party,21/04/2025
Orica,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://announcements.asx.com.au/asxpdf/20231109/pdf/05x3xn8862ncmf.pdf,PDF,Third-party,21/04/2025
Orica,Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.bhp.com/-/media/documents/investors/annual-reports/2023/230822_bhpannualreport2023.pdf,PDF,Third-party,21/04/2025
Anglo American Australia (angloamerican),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2023/anglo-american-sustainability-report-2023-and-assurance-report.pdf,PDF,Trusted,21/04/2025
Anglo American Australia (angloamerican),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,http://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2024/aa-annual-report-full-2024.pdf,PDF,Trusted,21/04/2025
Anglo American Australia (angloamerican),Division B,Mining,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v5/PLC/investors/annual-reporting/2023/sustainability-report-2023.pdf,PDF,Trusted,21/04/2025
