Organization,Division,Industry,Country,SDG_Goals,Year Range Start,URL,File Type,Flag,Last Scraped
Visy Industries (Visy),Division C,Manufacturing,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.visy.com/sites/default/files/2023-07/visy-un-global-compact-communication-on-progress-2021.pdf?,PDF,Trusted,21/04/2025
Visy Industries (Visy),Division C,Manufacturing,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://announcements.asx.com.au/asxpdf/20231012/pdf/05vz0tk4f56qf4.pdf,PDF,Third-party,21/04/2025
Visy Industries (Visy),Division C,Manufacturing,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.visy.com/sites/default/files/2023-07/helping-you-achieve-your-sustainability-targets-17032022.pdf?,PDF,Trusted,21/04/2025
Visy Industries (Visy),Division C,Manufacturing,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://containerexchange.com.au/wp-content/uploads/2024/10/3690_COEX_Annual-Report-2024_FA-Spreads.pdf,PDF,Third-party,21/04/2025
Visy Industries (Visy),Division C,Manufacturing,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.visy.com/sites/default/files/2023-07/visy_cop_-_un_global_compact_2019.pdf?,PDF,Trusted,21/04/2025
Visy Industries (Visy),Division C,Manufacturing,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.aspecthuntley.com.au/asxdata/20240926/pdf/02857866.pdf,PDF,Third-party,21/04/2025
Visy Industries (Visy),Division C,Manufacturing,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://pactgroup.com/wp-content/uploads/2024/02/20240215-ASX-Announcement-Appendix-4D-and-2024-Half-Year-Report-and-Accounts.pdf,PDF,Third-party,21/04/2025
Visy Industries (Visy),Division C,Manufacturing,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://s29.q4cdn.com/385744025/files/doc_downloads/2023/Visa-Inc-Fiscal-2023-Annual-Report.pdf,PDF,Third-party,21/04/2025
Visy Industries (Visy),Division C,Manufacturing,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.aspecthuntley.com.au/asxdata/20231004/pdf/02720828.pdf,PDF,Third-party,21/04/2025
Visy Industries (Visy),Division C,Manufacturing,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://globalfoundation.org.au/wp-content/uploads/2024/06/Participant-Biographies.pdf,PDF,Third-party,21/04/2025
