Organization,Country,SDG Goal,SDG Question,Answer Options,SDG Goal ID,SDG Ques ID,Industry,Filtered Content,URL,Page number,Document Type,Publication Date,Last updated Date
ABC (abc-cdn),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Information Media And Telecommunications,[Page 114] In FY24 49% of waste  collected from major metropolitan sites was  diverted from landfill. | [Page 114] Major metropolitan sites  use multiple-bin waste systems to separate  waste streams.,https://live-production.wcms.abc-cdn.net.au/b4ee2afa69a0f6e1a000c42aeb27ed01,114 | 111,PDF,nan,2025-05-06T04:37:33.750209
ABC (abc-cdn),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Information Media And Telecommunications,[Page 273] Sustainability Working Group 116,https://live-production.wcms.abc-cdn.net.au/b4ee2afa69a0f6e1a000c42aeb27ed01,273,PDF,nan,2025-05-06T04:37:33.750209
ABC (abc-cdn),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Information Media And Telecommunications,,,,,,
ABC (abc-cdn),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Information Media And Telecommunications,"[Page 91] Current workforce  data shows 55.1% of ABC executives are women. | [Page 128] Josephine Buontempo –  Deputy Chair North Fremantle, WA January 2019 – December 2024 Jo Buontempo has held executive and non- executive director roles across the corporate,  government and social sectors. | [Page 147] 17	 Percentage based on 70% of executives voluntarily providing Equal Employment Opportunity information as of 30 June 2024 using the CALD Data. | [Page 147] Currently, the  representation data for our Executive team is based on responses from 56% of the Executive workforce that have  completed the updated form. | [Page 147] 18	  based on 93% of executives voluntarily providing Equal Employment Opportunity information as of 30 June 2023 using the NESB Data.",https://live-production.wcms.abc-cdn.net.au/b4ee2afa69a0f6e1a000c42aeb27ed01,91 | 128 | 27 | 147,PDF,nan,2025-05-06T04:37:33.750209
ABC (abc-cdn),AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all","In your organization, what percentage of annual energy usage is derived from renewable energy (clean fuels and technology)?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S002,Q002,Information Media And Telecommunications,"[Page 116] This includes the renewable  power percentage. | [Page 116] 1	 Mandatory renewables are the portion of electricity consumed from the grid that is generated by renewable sources. | [Page 113] The ABC’s scope 2 location-based emissions  have reduced by 9% year on year due to energy  efficiency measures, solar generation and  improving grid emissions factors. | [Page 113] Purchases of GreenPower are the primary  reason for the 37% year on year reduction in  the ABC’s scope 2 market-based emissions. | [Page 114] Offsets The ABC’s strategy to meet Scope 1 & 2 net zero  by 2030 is focused on minimising fossil fuel  usage across its operations, thereby reducing  GHG emissions. | [Page 116] FY24 electricity greenhouse gas emissions Emission Source Scope 2 t CO2-e Scope 3 t CO2-e Total t CO2-e Percentage of  electricity use Electricity (Location Based Approach) 18,217 1,958 20,175 100% Market-based electricity emissions 12,744 1,573 14,317 53% Total renewable electricity – – – 47% 	 Mandatory renewables1 – – – 19% 	 Voluntary renewables2 – – – 28% Note: the table above presents emissions related to electricity usage using both the location-based and the market-based accounting methods.",https://live-production.wcms.abc-cdn.net.au/b4ee2afa69a0f6e1a000c42aeb27ed01,116 | 114 | 113,PDF,nan,2025-05-06T04:37:33.750209
AGL Energy (agl),AU,Goal 12. Ensure sustainable consumption and production patterns,"In your organization, what is the recycling rate (measured by sum of recyclables + organics divided by total garbage, as the percentage of of all waste that is recycled? ",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S003,Q003,Electricity Gas Water And Waste Services,,,,,,
AGL Energy (agl),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Electricity Gas Water And Waste Services,"[Page 4] Directors' Report for the half-year ended 31 December 2024 Non-IFRS Financial Information The Financial Review attached to and forming part of this Directors’ Report includes a number of non-International Financial Reporting  Standards (IFRS) financial measures. | [Page 4] AGL management uses these non-IFRS financial measures to assess the performance of the business  and make decisions on the allocation of resources. | [Page 4] Underlying Profit is presented with reference to the Australian Securities & Investment Commission (ASIC) Regulatory Guide 230 “Disclosing  non-IFRS financial information”, issued in December 2011.",https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/news-centre/2025/250212-fy25-half-year-report_2.pdf,4,PDF,2025.0,2025-06-05T01:26:24.493051
AGL Energy (agl),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Electricity Gas Water And Waste Services,AGL Energy Limited Australia joined un compact on 19-Oct-16,https://unglobalcompact.org/what-is-gc/participants/96751-AGL-Energy-Limited,,,,
AGL Energy (agl),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Electricity Gas Water And Waste Services,,,,,,
AGL Energy (agl),AU,"Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all","In your organization, what percentage of annual energy usage is derived from renewable energy (clean fuels and technology)?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S002,Q002,Electricity Gas Water And Waste Services,"[Page 7] Renewable generation 2,362 2,654 | [Page 24] • Renewables and Storage costs were $(119) million, down 12.5%, primarily driven by an increase in onerous contract releases compared  to the prior corresponding period. | [Page 24] • Green compliance costs were $(360) million, an increase of 5.0%, primarily driven by higher prices for Victoria Energy Efficiency Certificates (VEEC) and higher costs from the Small-Scale Renewable Energy Scheme (SRES) due to a higher compliance scheme percentage compared  to the prior corresponding period. | [Page 18] • Renewables and Storage Underlying EBITDA was $(19) million, down 35.7%, primarily driven by higher labour costs to transition and  implement an internal maintenance model of AGL operated wind farms, and operating costs for the Torrens Island and Broken Hill  batteries which commenced operations on 30 | [Page 42] Tilt Renewables Development and owner of renewable  energy generation projects 20 20 (5) 46",https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/news-centre/2025/250212-fy25-half-year-report_2.pdf,42 | 18 | 7 | 24,PDF,2025.0,2025-06-05T01:26:24.493051
