Organization,Country,SDG Goal,SDG Question,Answer Options,SDG Goal ID,SDG Ques ID,Industry,Filtered Content,URL,Page number,Document Type,Publication Date,Last updated Date
ABC (abc-cdn),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Information Media And Telecommunications,"[Page 4] Foreword  from the Chair 1	 ABC Corporate Tracking Program, 2023–2024 Annual Performance Statements.",https://live-production.wcms.abc-cdn.net.au/b4ee2afa69a0f6e1a000c42aeb27ed01,4,PDF,2024,2025-04-23T05:30:15.236265
ABC (abc-cdn),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Information Media And Telecommunications,"[Page 7] He previously held board and advisory  positions with Dealt Limited, 360 Capital  ANI Management, Capitol Health Limited,  International Grammar School Sydney, TXA  Australia Pty Ltd, Norwest Productions Pty Ltd,  Australian News Channel Pty Ltd, B Digital Ltd,  Vividwireless Pty Ltd, and Yahoo 7 Australia.",https://live-production.wcms.abc-cdn.net.au/b4ee2afa69a0f6e1a000c42aeb27ed01,7,PDF,2024,2025-04-23T05:30:15.236265
AGL Energy (agl),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Electricity Gas Water And Waste Services,"[Page 61] • Oversight of AGL's social licence, sustainability and climate policies and monitoring AGL's relationships with external stakeholders. | [Page 15] • A dedicated Board Committee oversees safety and sustainability. | [Page 61] The SSC considers climate-related issues from a sustainability perspective, including considerations  for AGL stakeholders. More information about the role of the Board and its committees can be found on the AGL website, in the Governance  Summary in this report, and in the 2024 Corporate Governance Statement. | [Page 61] We are closely monitoring evolving regulatory obligations and investor expectations regarding climate-related reporting and have considered  the evolving draft Australian Sustainability Reporting Standards (ASRS) to inform and enhance our disclosure practices this year. | [Page 112] AGL  management uses these non-IFRS financial measures to assess the  performance of the business and make decisions on the allocation  of resources. | [Page 95] AGL management uses these non-IFRS financial measures to assess the performance of the business and make decisions on the allocation of resources. | [Page 64] N/A AGL will regularly assess Board skills in categories that  cover the core competencies necessary to lead the energy  transition (for example:  environmental; energy markets; and  entrepreneurship, commercial leadership and growth) and  disclose the outcomes of these skills assessments annually. | [Page 182] The consolidated financial statements also comply with International Financial Reporting Standards (IFRS) as issued by the International  Accounting Standards Board.",https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2023/230810-agl-energy-limited-annual-report-2023-4-4-asx.pdf | https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2024/240814-2024--annual-report.pdf,64 | 61 | 95 | 15 | 182 | 112,PDF,2023,2025-04-23T05:08:03.646908
AGL Energy (agl),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Electricity Gas Water And Waste Services,"[Page 79] The sub-metrics have been refined to enhance alignment with the commitments in the CTAP, whilst continuing to ensure a balanced assessment. | AGL Energy Limited Australia joined un compact on 19-Oct-16",https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2023/230810-agl-energy-limited-annual-report-2023-4-4-asx.pdf | https://unglobalcompact.org/what-is-gc/participants/96751-AGL-Energy-Limited,79,PDF,2023,2025-04-23T05:08:03.646908
Aboriginal Medical Service Cooperative Limited (AMSRedfern),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Health Care And Social Assistance,"[Page 18] AMS Redfern currently supports  staff enrolled in the following courses:  1x Diploma of Practice Management  1x Certificate IV Leadership and Management 6x Certificate IV Aboriginal and Torres Strait Islander Primary Health Care  1x Certificate III Dental Assisting Fire safety, First Aid & CPR training was delivered to all staff at AMS this year, along with regular  in-service education sessions from external partners and providers.",https://amsredfern.org.au/wp-content/uploads/2023/11/AMS-Redfern-Annual-Report-2022-23-v7-DIGITAL.pdf,18,PDF,2023,2025-04-16T22:25:57.437008
Aboriginal Medical Service Cooperative Limited (AMSRedfern),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Health Care And Social Assistance,"[Page 15] the financial report of Aboriginal Medical Service Co-Operative Limited has been prepared in accordance with  Division 60 of the Australian Charities and Not-for-profits Commission Act 2012 (“ACNC Act”), including: a.",https://amsredfern.org.au/wp-content/uploads/2023/11/AMS-Redfern-Annual-Report-2022-23-v7-DIGITAL.pdf,15,PDF,2023,2025-04-16T22:25:57.437008
ActewAGL (iconwater),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Electricity Gas Water And Waste Services,"[Page 73] This is articulated through our  Sustainability and Environment  Policy which is underpinned  by our certified Environmental  Management System. | [Page 73] We incorporated ecologically  sustainable development in  decision-making, as required under  the Territory-owned Corporations Act  1990 (ACT), through completion of  21 sustainability assessments which  consider environmental and social  impacts and opportunities in capital  infrastructure project planning. | [Page 190] Environmental regulations  Icon Retail has various environmental reporting requirements and obligations in each state and territory that  it holds a licence. | [Page 51] Commissioner for  Sustainability and the  Environment We sought input and feedback from  the Commissioner for Sustainability  and the Environment during the  development of our second version  of the Climate Change Adaptation  Plan – securing resilience. | [Page 73] ENVIRONMENTAL MANAGEMENT We are committed  to protecting the  environment and  improving sustainability  for our business and our  community. | [Page 33] Certification to this standard  ensures we provide safe and healthy  workplaces while proactively  improving our performance in line  with industry best practice. | [Page 161] Environmental regulations  Icon Distribution has various environmental reporting requirements and obligations in each state and territory  that it holds a licence. | [Page 73] We aligned with our general  environmental duty under ACT,  NSW and Commonwealth  environmental legislation through  completion of seven Development  Application approvals, four National  Capital Authority Works’ approvals,  four Environmental Significance  Opinions, two Nature Conservation  Licences, two Letter of Design  Reviews, and one Environmental  Protection and Biodiversity  Conservation Act Self-Referral for  our activities.",https://www.iconwater.com.au/sites/default/files/2023-10/Icon%20Water%20Annual%20Report%202022-23.pdf,33 | 73 | 190 | 161 | 51,PDF,2023,2025-04-23T05:07:22.967650
ActewAGL (iconwater),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Electricity Gas Water And Waste Services,[Page 7] ORGANISATION 5 Organisation | [Page 33] Certification to this standard  ensures we provide safe and healthy  workplaces while proactively  improving our performance in line  with industry best practice.,https://www.iconwater.com.au/sites/default/files/2023-10/Icon%20Water%20Annual%20Report%202022-23.pdf,7 | 33,PDF,2023,2025-04-23T05:07:22.967650
Anglo American Australia (angloamerican),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Does your organization have an active IFRS certification in sustainability?,1. I don't know. 2. No. 3. 1-3  year active certification. 4. 4-6 year active certification. 5. 7-9 year active certification. 6. 10+ year active certification.,S004,Q005,Mining,"[Page 65] (3)   IFRS COP28 Declaration of Support, 2023: www.ifrs.org/ifrs-sustainability-disclosure-standards-around-the-world/cop28-declaration-of-support/ | [Page 36] All managed operations (100%) have been  certified against the ISO 14001:2015  environmental management standard. | [Page 65] In 2023, the ISSB published the first of its two sustainability  standards, IFRS S1 General Requirements for Disclosure  of Sustainability-related Financial Information and IFRS S2  Climate-related Disclosures. | [Page 96] To demonstrate the high  standards to which we operate, we have been at the forefront of developing and adopting some  of the most trusted sustainability certification programmes for the mining sector, including the  Initiative for Responsible Mining Assurance (IRMA) and the Responsible Jewellery Council (RJC). | [Page 119] To demonstrate the high standards to  which we operate, we have been at the forefront  of developing and adopting some of the most  trusted sustainability certification programmes  for the mining sector, including the Initiative for  Responsible Mining Assurance (IRMA) and the  Responsible Jewellery Council (RJC). | [Page 65] We note that in 2024, the oversight of company climate-related  financial reporting transferred from the Financial Stability  Board (FSB) to the International Financial Reporting Standards  (IFRS) Foundation, and the International Sustainability  Standards Board (ISSB). | [Page 56] They are  responsible for making recommendations to relevant  committees in relation to sustainability performance,  including remuneration metrics. | [Page 81] We also  use the EcoVadis rating methodology, which  measures the quality of a company's  sustainability management system.",https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/sustainability-report-plc-2024.pdf | https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2023/anglo-american-sustainability-report-2023-and-assurance-report.pdf | https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v5/PLC/investors/annual-reporting/2023/sustainability-report-2023.pdf,36 | 119 | 56 | 96 | 81 | 65,PDF,2025,2025-04-23T04:58:43.018723
Anglo American Australia (angloamerican),AU,Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Is your organisation certified with UN Compact?,"1. I don't know. 2. No. 3. No, but it is in planning for this year. 4. No, but certification is in progress. 5. Yes, certified, active this year. 6. Yes, certified , active this year, and have renewed certification once or more times",S004,Q004,Mining,"[Page 108] Our approach to complying with the UN Global Compact  Principles is integrated throughout this report. | [Page 134] Our approach to complying with the UN Global Compact  Principles is integrated throughout this report. | [Page 134] United Nations Global Compact The UN Global Compact (UNGC) is a principles-based  approach to sustainability, derived from UN declarations. | [Page 108] United Nations Global Compact The UN Global Compact (UNGC) is a principles-based  approach to sustainability, derived from UN declarations. | [Page 9] We remain committed to the principles of the UN  Global Compact and the Guiding Principles on Business and  Human Rights. | [Page 105] To this end, we continue our collaboration with  external stakeholders such as the Minerals  Council South Africa and the UN  Global Compact. | [Page 103] To this end, we continue our collaboration with  external stakeholders such as the Minerals  Council South Africa and UN Global Compact. | [Page 107] Compliance Our policies and management systems align with the South  African constitution, UN Global Compact, UN Guiding  Principles on Business and Human Rights, VPSHRs, and IFC  performance standards. | Anglo American Metallurgical Coal Pty Ltd (Anglo American Australia) Australia joined un compact on 27-May-21",https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/sustainability-report-plc-2024.pdf | https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2023/anglo-american-sustainability-report-2023-and-assurance-report.pdf | https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v5/PLC/investors/annual-reporting/2023/sustainability-report-2023.pdf | https://unglobalcompact.org/what-is-gc/participants/146021-Anglo-American-Metallurgical-Coal-Pty-Ltd,107 | 108 | 134 | 105 | 9 | 103,PDF,2023,2025-04-23T04:58:24.150189
