Organization,Division,Industry,Country,SDG_Goals,Year Range Start,URL,File Type,Flag,Last Scraped
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.purplehouse.org.au/wp-content/uploads/2024/10/Purple-House-Social-Impact-Report-2024.pdf,PDF,Trusted,16/04/2025
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.nestle.com/sites/default/files/2024-02/creating-shared-value-sustainability-report-2023-en.pdf,PDF,Third-party,16/04/2025
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.astrazeneca.com/content/dam/az/Sustainability/2024/pdf/Sustainability-Report-2023.pdf,PDF,Third-party,16/04/2025
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.fedex.com/content/dam/fedex/us-united-states/sustainability/gcrs/FedEx_2024_ESG_Report.pdf,PDF,Third-party,16/04/2025
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://s28.q4cdn.com/541786762/files/doc_downloads/2024/Atlassian-Sustainability-Report-FY24-1.pdf,PDF,Third-party,16/04/2025
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/QAN_2024_Sustainability_Report.pdf,PDF,Third-party,16/04/2025
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.peabodyenergy.com/Peabody/media/MediaLibrary/2024_Peabody_ESG_Report.pdf,PDF,Third-party,16/04/2025
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://reports.weforum.org/docs/WEF_Future_of_Jobs_Report_2025.pdf,PDF,Third-party,16/04/2025
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://global.toyota/pages/global_toyota/sustainability/report/sdb/sdb24_en.pdf,PDF,Third-party,16/04/2025
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2023-24/ar/annual-report-2023-2024.pdf,PDF,Third-party,16/04/2025
Purple House,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.climatechangeauthority.gov.au/sites/default/files/documents/2024-09/2024SectorPathwaysReviewBuilt%20Environment.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.sacredheartmission.org/wp-content/uploads/2024/07/shm-strategy2030-full-strategy-10-07-2024.pdf,PDF,Trusted,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.nestle.com/sites/default/files/2024-02/creating-shared-value-sustainability-report-2023-en.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.sacredheart.edu/media/shu-media/dba-in-finance/2024-DBA-Symposium-ADA.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://thewaltdisneycompany.eu/app/uploads/2024/04/TWDC-EMEA-CSR-Report_2023.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://totalenergies.com/system/files/documents/2024-03/totalenergies_sustainability-climate-2024-progress-report_2024_en_pdf.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Budget_Request_Overview_Book.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.sandiego.edu/documents/usd-board-of-trustees-biographies-2024-25.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/2024-integrated-sustainability-and-financial-report.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.infosys.com/sustainability/documents/infosys-esg-report-2023-24.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://sustainabledevelopment.un.org/content/documents/21252030%20Agenda%20for%20Sustainable%20Development%20web.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.cisco.com/c/dam/m/en_us/about/csr/esg-hub/_pdf/purpose-report-2024.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://reports.anglogoldashanti.com/24/wp-content/uploads/2025/03/AGA-SR24.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://nhsac.gov.au/sites/nhsac.gov.au/files/2024-05/state-of-the-housing-system-2024.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.mercycare.com.au/wp-content/uploads/2024/11/MercyCare-AnnualReport-2024-Web.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2023-24/ar/annual-report-2023-2024.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://ustr.gov/sites/default/files/2024%20NTE%20Report.pdf,PDF,Third-party,16/04/2025
Sacred Heart Mission,Division Q,Health Care And Social Assistance,AU,"Goal 5. Achieve gender equality and empower all women and girls, Goal 7. Ensure access to affordable, reliable, sustainable and modern energy for all, Goal 12. Ensure sustainable consumption and production patterns, Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development",2023,https://www3.weforum.org/docs/WEF_Future_Focus_2025.pdf,PDF,Third-party,16/04/2025
